filename,dataset_version,split,task_type,target_id,instruction,scene_seed,collection_seed,success_step,wrong_object_contact
ep_00027.npz,v2.clean,train,pick,C,Pick up the green cylinder,828492733,20260817,79,0
ep_00028.npz,v2.clean,test,pick,A,Pick up the red cube,1257794832,20260817,79,0
ep_00029.npz,v2.clean,train,pick,C,Pick up the green cylinder,229532271,20260817,70,0
ep_00030.npz,v2.clean,train,pick,A,Pick up the red cube,422532535,20260817,79,0
ep_00031.npz,v2.clean,test,pick,C,Pick up the green cylinder,1280967722,20260817,85,0
ep_00032.npz,v2.clean,train,push,A,Push the red cube away from the robot,1601548497,20260817,88,0
ep_00033.npz,v2.clean,test,pick,B,Pick up the blue ball,1663219856,20260817,84,0
ep_00034.npz,v2.clean,train,pick,A,Pick up the red cube,927632731,20260817,81,0
ep_00035.npz,v2.clean,train,pick,C,Pick up the green cylinder,186169263,20260817,77,0
ep_00036.npz,v2.clean,train,pick,C,Pick up the green cylinder,2116583128,20260817,75,0
ep_00037.npz,v2.clean,train,pick,C,Pick up the green cylinder,1476654562,20260817,80,0
ep_00038.npz,v2.clean,test,pick,A,Pick up the red cube,1504811536,20260817,84,0
ep_00039.npz,v2.clean,train,pick,B,Pick up the blue ball,1292877524,20260817,86,0
ep_00040.npz,v2.clean,train,pick,C,Pick up the green cylinder,224229485,20260817,80,0
ep_00041.npz,v2.clean,train,pick,C,Pick up the green cylinder,551732265,20260817,85,0
ep_00042.npz,v2.clean,train,pick,A,Pick up the red cube,1266789236,20260817,82,0
ep_00043.npz,v2.clean,train,pick,C,Pick up the green cylinder,4872140,20260817,75,0
ep_00044.npz,v2.clean,train,pick,B,Pick up the blue ball,101457915,20260817,86,0
ep_00045.npz,v2.clean,train,push,B,Push the blue ball away from the robot,1744473082,20260817,68,0
ep_00046.npz,v2.clean,train,pick,A,Pick up the red cube,1236020806,20260817,81,0
ep_00047.npz,v2.clean,train,pick,A,Pick up the red cube,1022113049,20260817,81,0
ep_00048.npz,v2.clean,train,pick,A,Pick up the red cube,2025952738,20260817,83,0
ep_00049.npz,v2.clean,train,pick,A,Pick up the red cube,249581157,20260817,88,0
ep_00050.npz,v2.clean,train,pick,B,Pick up the blue ball,1733607718,20260817,84,0
ep_00051.npz,v2.clean,train,pick,A,Pick up the red cube,1908343164,20260817,84,0
ep_00052.npz,v2.clean,val,pick,A,Pick up the red cube,302447605,20260817,88,0
ep_00053.npz,v2.clean,train,pick,B,Pick up the blue ball,2100103591,20260817,84,0
ep_00054.npz,v2.clean,train,pick,C,Pick up the green cylinder,214211670,20260817,83,0
ep_00055.npz,v2.clean,train,pick,B,Pick up the blue ball,2031799363,20260817,70,0
ep_00056.npz,v2.clean,test,pick,A,Pick up the red cube,1642138227,20260817,86,0
ep_00057.npz,v2.clean,train,pick,B,Pick up the blue ball,858971029,20260817,71,0
ep_00058.npz,v2.clean,train,pick,A,Pick up the red cube,424312253,20260817,88,0
ep_00059.npz,v2.clean,train,push,B,Push the blue ball away from the robot,1944143746,20260817,66,0
ep_00060.npz,v2.clean,train,pick,A,Pick up the red cube,1558952231,20260817,80,0
ep_00061.npz,v2.clean,train,pick,C,Pick up the green cylinder,455139802,20260817,75,0
ep_00062.npz,v2.clean,train,pick,C,Pick up the green cylinder,1196778188,20260817,81,0
ep_00063.npz,v2.clean,train,pick,B,Pick up the blue ball,840291966,20260817,77,0
ep_00064.npz,v2.clean,train,push,A,Push the red cube away from the robot,243459691,20260817,80,0
ep_00065.npz,v2.clean,train,pick,A,Pick up the red cube,450234035,20260817,82,0
ep_00066.npz,v2.clean,train,push,B,Push the blue ball away from the robot,191519400,20260817,155,0
ep_00067.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,616223191,20260817,82,0
ep_00068.npz,v2.clean,val,pick,C,Pick up the green cylinder,683738876,20260817,77,0
ep_00069.npz,v2.clean,train,pick,C,Pick up the green cylinder,2112545541,20260817,71,0
ep_00070.npz,v2.clean,val,pick,A,Pick up the red cube,300023403,20260817,79,0
ep_00071.npz,v2.clean,train,pick,B,Pick up the blue ball,1366362984,20260817,84,0
ep_00072.npz,v2.clean,train,pick,B,Pick up the blue ball,80090535,20260817,76,0
ep_00073.npz,v2.clean,train,pick,C,Pick up the green cylinder,459157137,20260817,85,0
ep_00074.npz,v2.clean,train,pick,B,Pick up the blue ball,21260353,20260817,75,0
ep_00075.npz,v2.clean,train,pick,C,Pick up the green cylinder,1866203250,20260817,83,0
ep_00076.npz,v2.clean,test,pick,C,Pick up the green cylinder,902590336,20260817,71,0
ep_00077.npz,v2.clean,train,pick,A,Pick up the red cube,798295037,20260817,87,0
ep_00078.npz,v2.clean,train,push,A,Push the red cube away from the robot,919389373,20260817,83,0
ep_00079.npz,v2.clean,train,pick,C,Pick up the green cylinder,203258505,20260817,67,0
ep_00080.npz,v2.clean,train,pick,A,Pick up the red cube,1125652160,20260817,87,0
ep_00081.npz,v2.clean,train,pick,A,Pick up the red cube,104080749,20260817,78,0
ep_00082.npz,v2.clean,val,pick,B,Pick up the blue ball,2044620911,20260817,79,0
ep_00083.npz,v2.clean,train,pick,C,Pick up the green cylinder,28581660,20260817,81,0
ep_00084.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1848602595,20260817,77,0
ep_00085.npz,v2.clean,train,pick,C,Pick up the green cylinder,1396995220,20260817,79,0
ep_00086.npz,v2.clean,train,pick,B,Pick up the blue ball,1799807444,20260817,85,0
ep_00087.npz,v2.clean,train,pick,A,Pick up the red cube,620163737,20260817,87,0
ep_00088.npz,v2.clean,test,pick,B,Pick up the blue ball,130695600,20260817,72,0
ep_00089.npz,v2.clean,train,push,A,Push the red cube away from the robot,625472107,20260817,82,0
ep_00090.npz,v2.clean,test,push,B,Push the blue ball away from the robot,778977583,20260817,76,0
ep_00091.npz,v2.clean,train,pick,C,Pick up the green cylinder,836778438,20260817,83,0
ep_00092.npz,v2.clean,train,pick,B,Pick up the blue ball,509895729,20260817,83,0
ep_00093.npz,v2.clean,train,pick,B,Pick up the blue ball,342773552,20260817,83,0
ep_00094.npz,v2.clean,train,pick,A,Pick up the red cube,1372658730,20260817,78,0
ep_00095.npz,v2.clean,train,pick,C,Pick up the green cylinder,1743338496,20260817,73,0
ep_00096.npz,v2.clean,test,pick,C,Pick up the green cylinder,133098339,20260817,85,0
ep_00097.npz,v2.clean,train,pick,C,Pick up the green cylinder,82606018,20260817,77,0
ep_00098.npz,v2.clean,test,pick,C,Pick up the green cylinder,1110148719,20260817,84,0
ep_00099.npz,v2.clean,test,pick,A,Pick up the red cube,1506430013,20260817,80,0
ep_00100.npz,v2.clean,train,push,A,Push the red cube away from the robot,976055412,20260817,99,0
ep_00101.npz,v2.clean,test,pick,A,Pick up the red cube,642687459,20260817,85,0
ep_00102.npz,v2.clean,val,pick,C,Pick up the green cylinder,893152637,20260817,85,0
ep_00103.npz,v2.clean,val,pick,C,Pick up the green cylinder,1439933812,20260817,77,0
ep_00104.npz,v2.clean,val,pick,A,Pick up the red cube,578324536,20260817,87,0
ep_00105.npz,v2.clean,train,pick,C,Pick up the green cylinder,1387699633,20260817,77,0
ep_00106.npz,v2.clean,test,pick,A,Pick up the red cube,1643786897,20260817,76,0
ep_00107.npz,v2.clean,train,pick,B,Pick up the blue ball,2110294476,20260817,77,0
ep_00108.npz,v2.clean,train,pick,C,Pick up the green cylinder,372132293,20260817,73,0
ep_00109.npz,v2.clean,val,pick,A,Pick up the red cube,243288943,20260817,70,0
ep_00110.npz,v2.clean,train,pick,C,Pick up the green cylinder,835705299,20260817,80,0
ep_00111.npz,v2.clean,train,pick,A,Pick up the red cube,250505073,20260817,85,0
ep_00112.npz,v2.clean,train,pick,C,Pick up the green cylinder,1385421530,20260817,85,0
ep_00113.npz,v2.clean,val,pick,B,Pick up the blue ball,1062218966,20260817,75,0
ep_00114.npz,v2.clean,train,pick,A,Pick up the red cube,1123076837,20260817,80,0
ep_00115.npz,v2.clean,train,pick,B,Pick up the blue ball,2106874407,20260817,81,0
ep_00116.npz,v2.clean,train,pick,A,Pick up the red cube,1214180797,20260817,80,0
ep_00117.npz,v2.clean,train,pick,A,Pick up the red cube,1783406241,20260817,86,0
ep_00118.npz,v2.clean,train,pick,C,Pick up the green cylinder,2024695770,20260817,83,0
ep_00119.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1690884313,20260817,95,0
ep_00120.npz,v2.clean,train,pick,C,Pick up the green cylinder,118327604,20260817,81,0
ep_00121.npz,v2.clean,train,pick,A,Pick up the red cube,1068255845,20260817,72,0
ep_00122.npz,v2.clean,train,pick,A,Pick up the red cube,1882061057,20260817,87,0
ep_00123.npz,v2.clean,val,pick,B,Pick up the blue ball,2114400339,20260817,84,0
ep_00124.npz,v2.clean,train,pick,B,Pick up the blue ball,1201051045,20260817,75,0
ep_00125.npz,v2.clean,train,pick,C,Pick up the green cylinder,1788695022,20260817,86,0
ep_00126.npz,v2.clean,train,pick,C,Pick up the green cylinder,1349792795,20260817,84,0
ep_00127.npz,v2.clean,train,pick,A,Pick up the red cube,492037308,20260817,83,0
ep_00128.npz,v2.clean,test,push,C,Push the green cylinder away from the robot,1067259257,20260817,85,0
ep_00129.npz,v2.clean,train,pick,B,Pick up the blue ball,800959582,20260817,82,0
ep_00130.npz,v2.clean,train,pick,B,Pick up the blue ball,840401220,20260817,80,0
ep_00131.npz,v2.clean,train,pick,A,Pick up the red cube,1844868684,20260817,84,0
ep_00132.npz,v2.clean,train,pick,A,Pick up the red cube,254784096,20260817,86,0
ep_00133.npz,v2.clean,train,pick,B,Pick up the blue ball,456168550,20260817,80,0
ep_00134.npz,v2.clean,train,pick,C,Pick up the green cylinder,1518011662,20260817,79,0
ep_00135.npz,v2.clean,test,pick,A,Pick up the red cube,881529335,20260817,88,0
ep_00136.npz,v2.clean,train,pick,C,Pick up the green cylinder,935750115,20260817,87,0
ep_00137.npz,v2.clean,train,push,A,Push the red cube away from the robot,936897389,20260817,80,0
ep_00138.npz,v2.clean,train,push,B,Push the blue ball away from the robot,1176906753,20260817,154,0
ep_00139.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1974819438,20260817,96,0
ep_00140.npz,v2.clean,test,pick,A,Pick up the red cube,1702331312,20260817,78,0
ep_00141.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,858449457,20260817,84,0
ep_00142.npz,v2.clean,train,pick,B,Pick up the blue ball,1253849965,20260817,87,0
ep_00143.npz,v2.clean,val,pick,B,Pick up the blue ball,1824037063,20260817,78,0
ep_00144.npz,v2.clean,train,pick,C,Pick up the green cylinder,989689291,20260817,77,0
ep_00145.npz,v2.clean,train,pick,A,Pick up the red cube,570009511,20260817,86,0
ep_00146.npz,v2.clean,train,pick,A,Pick up the red cube,25281492,20260817,87,0
ep_00147.npz,v2.clean,train,pick,A,Pick up the red cube,718425877,20260817,80,0
ep_00148.npz,v2.clean,train,pick,A,Pick up the red cube,1728850934,20260817,82,0
ep_00149.npz,v2.clean,train,pick,A,Pick up the red cube,97344550,20260817,79,0
ep_00150.npz,v2.clean,val,pick,C,Pick up the green cylinder,1703480773,20260817,77,0
ep_00151.npz,v2.clean,train,pick,A,Pick up the red cube,473279032,20260817,81,0
ep_00152.npz,v2.clean,train,pick,A,Pick up the red cube,1307218191,20260817,81,0
ep_00153.npz,v2.clean,val,pick,C,Pick up the green cylinder,158586791,20260817,80,0
ep_00154.npz,v2.clean,train,push,A,Push the red cube away from the robot,398119280,20260817,77,0
ep_00155.npz,v2.clean,train,pick,C,Pick up the green cylinder,1556536606,20260817,77,0
ep_00156.npz,v2.clean,train,pick,B,Pick up the blue ball,19207598,20260817,71,0
ep_00157.npz,v2.clean,train,pick,A,Pick up the red cube,1481837154,20260817,79,0
ep_00158.npz,v2.clean,train,pick,B,Pick up the blue ball,569455963,20260817,80,0
ep_00159.npz,v2.clean,train,pick,A,Pick up the red cube,2121470971,20260817,84,0
ep_00160.npz,v2.clean,train,push,B,Push the blue ball away from the robot,312629155,20260817,73,0
ep_00161.npz,v2.clean,train,pick,C,Pick up the green cylinder,1743765448,20260817,87,0
ep_00162.npz,v2.clean,val,pick,C,Pick up the green cylinder,2053907711,20260817,85,0
ep_00163.npz,v2.clean,val,push,B,Push the blue ball away from the robot,849610328,20260817,177,0
ep_00164.npz,v2.clean,train,pick,A,Pick up the red cube,845264811,20260817,87,0
ep_00165.npz,v2.clean,train,pick,B,Pick up the blue ball,1910041270,20260817,72,0
ep_00166.npz,v2.clean,train,pick,B,Pick up the blue ball,1486203981,20260817,82,0
ep_00167.npz,v2.clean,train,pick,A,Pick up the red cube,111812718,20260817,87,0
ep_00168.npz,v2.clean,train,pick,A,Pick up the red cube,1814698038,20260817,82,0
ep_00169.npz,v2.clean,train,push,B,Push the blue ball away from the robot,35847023,20260817,72,0
ep_00170.npz,v2.clean,train,pick,C,Pick up the green cylinder,645046701,20260817,74,0
ep_00171.npz,v2.clean,train,push,A,Push the red cube away from the robot,1590732768,20260817,82,0
ep_00172.npz,v2.clean,train,pick,C,Pick up the green cylinder,142718133,20260817,84,0
ep_00173.npz,v2.clean,val,pick,C,Pick up the green cylinder,1308631598,20260817,74,0
ep_00174.npz,v2.clean,train,pick,B,Pick up the blue ball,217852815,20260817,71,0
ep_00175.npz,v2.clean,train,pick,B,Pick up the blue ball,467971845,20260817,82,0
ep_00176.npz,v2.clean,train,pick,A,Pick up the red cube,1620545159,20260817,79,0
ep_00177.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1295540525,20260817,76,0
ep_00178.npz,v2.clean,val,pick,C,Pick up the green cylinder,745195738,20260817,76,0
ep_00179.npz,v2.clean,train,push,A,Push the red cube away from the robot,1422089452,20260817,79,0
ep_00180.npz,v2.clean,train,pick,B,Pick up the blue ball,551399392,20260817,85,0
ep_00181.npz,v2.clean,train,pick,A,Pick up the red cube,1999638165,20260817,87,0
ep_00182.npz,v2.clean,train,pick,A,Pick up the red cube,1713869549,20260817,77,0
ep_00183.npz,v2.clean,train,pick,A,Pick up the red cube,1748276189,20260817,82,0
ep_00184.npz,v2.clean,train,push,A,Push the red cube away from the robot,1019498010,20260817,79,0
ep_00185.npz,v2.clean,train,pick,C,Pick up the green cylinder,1507006851,20260817,84,0
ep_00186.npz,v2.clean,train,pick,C,Pick up the green cylinder,733015951,20260817,77,0
ep_00187.npz,v2.clean,val,pick,B,Pick up the blue ball,847649157,20260817,87,0
ep_00188.npz,v2.clean,train,pick,B,Pick up the blue ball,1638390673,20260817,78,0
ep_00189.npz,v2.clean,train,pick,B,Pick up the blue ball,1394698679,20260817,82,0
ep_00190.npz,v2.clean,val,pick,B,Pick up the blue ball,1338038112,20260817,80,0
ep_00191.npz,v2.clean,test,pick,C,Pick up the green cylinder,1206157589,20260817,73,0
ep_00192.npz,v2.clean,train,pick,C,Pick up the green cylinder,1636673266,20260817,82,0
ep_00193.npz,v2.clean,train,pick,B,Pick up the blue ball,1518890407,20260817,84,0
ep_00194.npz,v2.clean,train,pick,A,Pick up the red cube,2120824347,20260817,84,0
ep_00195.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,906588073,20260817,73,0
ep_00196.npz,v2.clean,test,push,B,Push the blue ball away from the robot,1043156328,20260817,65,0
ep_00197.npz,v2.clean,train,pick,A,Pick up the red cube,1458181789,20260817,76,0
ep_00198.npz,v2.clean,train,pick,B,Pick up the blue ball,1099474616,20260817,78,0
ep_00199.npz,v2.clean,train,pick,B,Pick up the blue ball,677169918,20260817,76,0
ep_00200.npz,v2.clean,train,pick,B,Pick up the blue ball,634530779,20260817,77,0
ep_00201.npz,v2.clean,train,pick,A,Pick up the red cube,970054748,20260817,78,0
ep_00202.npz,v2.clean,test,pick,C,Pick up the green cylinder,561966176,20260817,78,0
ep_00203.npz,v2.clean,train,push,A,Push the red cube away from the robot,491608014,20260817,82,0
ep_00204.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1240088407,20260817,81,0
ep_00205.npz,v2.clean,test,pick,B,Pick up the blue ball,1285688494,20260817,86,0
ep_00206.npz,v2.clean,train,push,A,Push the red cube away from the robot,1377633211,20260817,73,0
ep_00207.npz,v2.clean,test,pick,A,Pick up the red cube,555848922,20260817,81,0
ep_00208.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,652673956,20260817,88,0
ep_00209.npz,v2.clean,train,push,A,Push the red cube away from the robot,794425276,20260817,82,0
ep_00210.npz,v2.clean,train,pick,A,Pick up the red cube,1191690663,20260817,84,0
ep_00211.npz,v2.clean,train,pick,B,Pick up the blue ball,549276343,20260817,71,0
ep_00212.npz,v2.clean,train,push,A,Push the red cube away from the robot,671079853,20260817,92,0
ep_00213.npz,v2.clean,train,pick,A,Pick up the red cube,195204125,20260817,81,0
ep_00214.npz,v2.clean,train,pick,A,Pick up the red cube,969068745,20260817,86,0
ep_00215.npz,v2.clean,train,push,B,Push the blue ball away from the robot,149866715,20260817,74,0
ep_00216.npz,v2.clean,train,push,B,Push the blue ball away from the robot,760096783,20260817,83,0
ep_00217.npz,v2.clean,train,pick,C,Pick up the green cylinder,1438887829,20260817,74,0
ep_00218.npz,v2.clean,train,pick,C,Pick up the green cylinder,309738055,20260817,83,0
ep_00219.npz,v2.clean,train,pick,A,Pick up the red cube,959064434,20260817,86,0
ep_00220.npz,v2.clean,train,pick,A,Pick up the red cube,855701927,20260817,84,0
ep_00221.npz,v2.clean,train,pick,A,Pick up the red cube,1787207925,20260817,82,0
ep_00222.npz,v2.clean,train,pick,A,Pick up the red cube,2104306272,20260817,80,0
ep_00223.npz,v2.clean,test,pick,B,Pick up the blue ball,1402909810,20260817,80,0
ep_00224.npz,v2.clean,val,pick,B,Pick up the blue ball,816793556,20260817,79,0
ep_00225.npz,v2.clean,train,pick,A,Pick up the red cube,352454098,20260817,86,0
ep_00226.npz,v2.clean,test,push,B,Push the blue ball away from the robot,833125615,20260817,155,0
ep_00227.npz,v2.clean,train,push,A,Push the red cube away from the robot,394190509,20260817,83,0
ep_00228.npz,v2.clean,train,pick,A,Pick up the red cube,1892136731,20260817,81,0
ep_00229.npz,v2.clean,train,pick,C,Pick up the green cylinder,1867775991,20260817,76,0
ep_00230.npz,v2.clean,train,pick,A,Pick up the red cube,2007613171,20260817,85,0
ep_00231.npz,v2.clean,train,pick,C,Pick up the green cylinder,278077649,20260817,79,0
ep_00232.npz,v2.clean,train,pick,C,Pick up the green cylinder,836137220,20260817,78,0
ep_00233.npz,v2.clean,train,pick,B,Pick up the blue ball,1301703023,20260817,79,0
ep_00234.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1275645269,20260817,75,0
ep_00235.npz,v2.clean,train,pick,C,Pick up the green cylinder,87941877,20260817,72,0
ep_00236.npz,v2.clean,train,pick,B,Pick up the blue ball,1398265744,20260817,82,0
ep_00237.npz,v2.clean,train,pick,C,Pick up the green cylinder,1851369976,20260817,79,0
ep_00238.npz,v2.clean,train,pick,C,Pick up the green cylinder,517086131,20260817,85,0
ep_00239.npz,v2.clean,train,pick,A,Pick up the red cube,612518237,20260817,81,0
ep_00240.npz,v2.clean,val,push,B,Push the blue ball away from the robot,455377188,20260817,158,0
ep_00241.npz,v2.clean,train,pick,A,Pick up the red cube,1521584593,20260817,80,0
ep_00242.npz,v2.clean,train,pick,B,Pick up the blue ball,1668766570,20260817,73,0
ep_00243.npz,v2.clean,train,pick,C,Pick up the green cylinder,293524345,20260817,85,0
ep_00244.npz,v2.clean,train,pick,B,Pick up the blue ball,2070858848,20260817,77,0
ep_00245.npz,v2.clean,train,push,B,Push the blue ball away from the robot,1793343022,20260817,67,0
ep_00246.npz,v2.clean,train,pick,C,Pick up the green cylinder,2019256789,20260817,79,0
ep_00247.npz,v2.clean,train,pick,B,Pick up the blue ball,314976852,20260817,86,0
ep_00248.npz,v2.clean,train,pick,C,Pick up the green cylinder,521779372,20260817,79,0
ep_00249.npz,v2.clean,train,pick,A,Pick up the red cube,679893990,20260817,88,0
ep_00250.npz,v2.clean,test,pick,C,Pick up the green cylinder,289842482,20260817,75,0
ep_00251.npz,v2.clean,train,pick,C,Pick up the green cylinder,1560403709,20260817,84,0
ep_00252.npz,v2.clean,train,pick,A,Pick up the red cube,279056775,20260817,71,0
ep_00253.npz,v2.clean,train,pick,C,Pick up the green cylinder,1927591327,20260817,80,0
ep_00254.npz,v2.clean,train,pick,B,Pick up the blue ball,573638162,20260817,78,0
ep_00255.npz,v2.clean,train,pick,A,Pick up the red cube,499848850,20260817,88,0
ep_00256.npz,v2.clean,train,pick,B,Pick up the blue ball,1164103536,20260817,79,0
ep_00257.npz,v2.clean,test,pick,A,Pick up the red cube,1012630835,20260817,74,0
ep_00258.npz,v2.clean,test,pick,C,Pick up the green cylinder,416357915,20260817,82,0
ep_00259.npz,v2.clean,train,pick,B,Pick up the blue ball,368920103,20260817,82,0
ep_00260.npz,v2.clean,train,pick,A,Pick up the red cube,1821978701,20260817,80,0
ep_00261.npz,v2.clean,train,push,A,Push the red cube away from the robot,1817273201,20260817,82,0
ep_00262.npz,v2.clean,train,pick,A,Pick up the red cube,470962863,20260817,88,0
ep_00263.npz,v2.clean,test,pick,B,Pick up the blue ball,1178571861,20260817,80,0
ep_00264.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,889850560,20260817,76,0
ep_00265.npz,v2.clean,test,pick,B,Pick up the blue ball,910258707,20260817,72,0
ep_00266.npz,v2.clean,train,pick,C,Pick up the green cylinder,347414034,20260817,82,0
ep_00267.npz,v2.clean,test,push,A,Push the red cube away from the robot,239820589,20260817,74,0
ep_00268.npz,v2.clean,train,pick,C,Pick up the green cylinder,481725705,20260817,80,0
ep_00269.npz,v2.clean,train,pick,B,Pick up the blue ball,1903855021,20260817,72,0
ep_00270.npz,v2.clean,train,pick,C,Pick up the green cylinder,165667448,20260817,79,0
ep_00271.npz,v2.clean,test,pick,C,Pick up the green cylinder,757552072,20260817,84,0
ep_00272.npz,v2.clean,train,pick,C,Pick up the green cylinder,348536512,20260817,85,0
ep_00273.npz,v2.clean,val,pick,A,Pick up the red cube,818337586,20260817,85,0
ep_00274.npz,v2.clean,train,pick,A,Pick up the red cube,2032857914,20260817,82,0
ep_00275.npz,v2.clean,train,pick,C,Pick up the green cylinder,131252546,20260817,74,0
ep_00276.npz,v2.clean,train,pick,A,Pick up the red cube,1223628807,20260817,83,0
ep_00277.npz,v2.clean,train,pick,C,Pick up the green cylinder,794508658,20260817,86,0
ep_00278.npz,v2.clean,train,pick,A,Pick up the red cube,1685450308,20260817,87,0
ep_00279.npz,v2.clean,val,pick,A,Pick up the red cube,209669321,20260817,74,0
ep_00280.npz,v2.clean,train,pick,A,Pick up the red cube,568334217,20260817,83,0
ep_00281.npz,v2.clean,train,pick,B,Pick up the blue ball,893947871,20260817,84,0
ep_00282.npz,v2.clean,train,pick,C,Pick up the green cylinder,746614289,20260817,80,0
ep_00283.npz,v2.clean,train,pick,A,Pick up the red cube,101051720,20260817,78,0
ep_00284.npz,v2.clean,train,pick,C,Pick up the green cylinder,1029132909,20260817,77,0
ep_00285.npz,v2.clean,val,pick,A,Pick up the red cube,2022313249,20260817,83,0
ep_00286.npz,v2.clean,train,pick,C,Pick up the green cylinder,519479508,20260817,85,0
ep_00287.npz,v2.clean,train,pick,C,Pick up the green cylinder,123586960,20260817,78,0
ep_00288.npz,v2.clean,test,pick,A,Pick up the red cube,392552721,20260817,91,0
ep_00289.npz,v2.clean,train,push,A,Push the red cube away from the robot,911396729,20260817,81,0
ep_00290.npz,v2.clean,train,pick,C,Pick up the green cylinder,1977941635,20260817,77,0
ep_00291.npz,v2.clean,train,pick,A,Pick up the red cube,1279791487,20260817,75,0
ep_00292.npz,v2.clean,train,pick,A,Pick up the red cube,1012196569,20260817,89,0
ep_00293.npz,v2.clean,train,pick,C,Pick up the green cylinder,1129086188,20260817,72,0
ep_00294.npz,v2.clean,train,pick,C,Pick up the green cylinder,454104504,20260817,87,0
ep_00295.npz,v2.clean,train,pick,A,Pick up the red cube,313693871,20260817,80,0
ep_00296.npz,v2.clean,train,push,A,Push the red cube away from the robot,1058908238,20260817,85,0
ep_00297.npz,v2.clean,test,push,A,Push the red cube away from the robot,1919216085,20260817,89,0
ep_00298.npz,v2.clean,train,pick,C,Pick up the green cylinder,1329498064,20260817,79,0
ep_00299.npz,v2.clean,train,pick,B,Pick up the blue ball,304052731,20260817,77,0
ep_00300.npz,v2.clean,train,pick,C,Pick up the green cylinder,184496570,20260817,74,0
ep_00301.npz,v2.clean,train,pick,C,Pick up the green cylinder,1964323999,20260817,76,0
ep_00302.npz,v2.clean,train,pick,A,Pick up the red cube,1847464351,20260817,77,0
ep_00303.npz,v2.clean,train,pick,A,Pick up the red cube,821207812,20260817,85,0
ep_00304.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1197131805,20260817,80,0
ep_00305.npz,v2.clean,train,push,A,Push the red cube away from the robot,1019745215,20260817,86,0
ep_00306.npz,v2.clean,train,pick,A,Pick up the red cube,1259960504,20260817,88,0
ep_00307.npz,v2.clean,train,pick,B,Pick up the blue ball,316891196,20260817,85,0
ep_00308.npz,v2.clean,train,pick,C,Pick up the green cylinder,953488329,20260817,84,0
ep_00309.npz,v2.clean,train,pick,A,Pick up the red cube,1001859478,20260817,77,0
ep_00310.npz,v2.clean,train,pick,B,Pick up the blue ball,144653262,20260817,78,0
